epoch,accuracy,loss,val_accuracy,val_loss
0,0.5774601,0.6699727009585563,0.68125,0.5771563902497292
1,0.69714093,0.5780153697792519,0.73125,0.5516476273536682
2,0.7300532,0.5438734868422468,0.7,0.5411762565374374
3,0.7144282,0.5545481823860331,0.709375,0.5364485248923302
4,0.73038566,0.5299940069622182,0.740625,0.4944830611348152
5,0.7400266,0.5118314334528243,0.7125,0.548589377105236
6,0.74335104,0.5054353513616197,0.71875,0.513305090367794
7,0.74700797,0.5006275380703997,0.75,0.4895871698856354
8,0.77293885,0.4610311817774113,0.715625,0.5322808071970939
9,0.7662899,0.47816233899682126,0.75625,0.48847910240292547
10,0.78224736,0.46122055984240895,0.75,0.5030214831233024
11,0.78523934,0.44976693177793886,0.721875,0.5066370353102684
12,0.7855718,0.45146134535365917,0.75625,0.48997275680303576
13,0.7915558,0.44597585031643827,0.765625,0.49639808796346185
14,0.79521275,0.4365551590602449,0.74375,0.4967494413256645
15,0.8078458,0.4182227995801479,0.76875,0.4314196020364761
16,0.80086434,0.41562352155117277,0.79375,0.43481475561857225
17,0.8111702,0.4047645149712867,0.76875,0.46554513163864614
18,0.81349736,0.4098062326616429,0.771875,0.47263110503554345
19,0.7972075,0.4365672749724794,0.759375,0.493863957375288
20,0.7809175,0.45949665663090156,0.740625,0.5082809284329415
21,0.7865692,0.440243004563641,0.76875,0.4649444542825222
22,0.81050533,0.40116549354601416,0.753125,0.5235679045319557
23,0.8061835,0.4212246246318868,0.740625,0.47838895618915556
24,0.8138298,0.3960318998929034,0.753125,0.4748804733157158
25,0.82413566,0.37917395035161616,0.740625,0.528787226229906
26,0.8238032,0.3768916939722097,0.78125,0.45384404212236407
27,0.8331117,0.3752929275815791,0.778125,0.5584120273590087
28,0.83543885,0.35847108977589204,0.75625,0.4862200543284416
29,0.82712764,0.3827833854296106,0.73125,0.5264217957854271
