epoch,accuracy,loss,val_accuracy,val_loss
0,0.6050532,0.6563285489348655,0.6375,0.6330632776021957
1,0.70013297,0.5744715039717391,0.696875,0.5802105203270912
2,0.70079786,0.5638350387837024,0.696875,0.5897490322589874
3,0.71143615,0.554697038169871,0.7125,0.5626036137342453
4,0.72107714,0.5420762631804386,0.709375,0.5651313781738281
5,0.7134308,0.5443053429431104,0.715625,0.5427084028720855
6,0.73138297,0.536178958780588,0.703125,0.5148551151156425
7,0.74202126,0.5201365422219673,0.7125,0.5236099287867546
8,0.7340425,0.5243558715632621,0.721875,0.535077977180481
9,0.7436835,0.5168533160331401,0.7375,0.5071803629398346
10,0.75664896,0.49537750087836957,0.73125,0.5256337493658065
11,0.7642952,0.4851159456562489,0.73125,0.5047020256519318
12,0.77460104,0.4713537744543654,0.75,0.48773764073848724
13,0.75964093,0.484946331128161,0.7125,0.5278617903590203
14,0.7905585,0.4527156253127342,0.75,0.5094363957643508
15,0.78390956,0.45531314651065685,0.734375,0.48352613896131513
16,0.78922874,0.44487786261325185,0.73125,0.4985911697149277
17,0.79521275,0.435194388903836,0.71875,0.5129018217325211
18,0.8018617,0.4270428813835408,0.76875,0.4821010619401932
19,0.8071808,0.41419113253025297,0.74375,0.48665325045585633
20,0.79920214,0.4254818523025259,0.796875,0.46512967348098755
21,0.8021942,0.44156677014333134,0.715625,0.5269057482481003
22,0.80518615,0.41404947693994704,0.803125,0.45143806040287016
23,0.8038564,0.41242434789842747,0.775,0.44885150492191317
24,0.81515956,0.4018066977249815,0.765625,0.5056493610143662
25,0.79454786,0.4180090587506903,0.734375,0.48930584341287614
26,0.8194814,0.40021577715239626,0.746875,0.48532392680644987
27,0.8075133,0.41639539734163183,0.734375,0.4714100375771523
28,0.8194814,0.3865717391067363,0.7625,0.4589871071279049
29,0.80418885,0.4195362583119818,0.746875,0.47252255380153657
