epoch,accuracy,loss,val_accuracy,val_loss
0,0.66456115,0.6243210453936394,0.68125,0.5665520891547203
1,0.7300532,0.5484712584380139,0.71875,0.5432323172688485
2,0.7546542,0.5005956648829135,0.734375,0.5183205619454384
3,0.78291225,0.4590064490095098,0.76875,0.5445937126874923
4,0.8025266,0.43763794226849334,0.7625,0.44795175418257716
5,0.8081782,0.4203708734601102,0.7625,0.47325032353401186
6,0.83144945,0.3748173711702545,0.75,0.5473359227180481
7,0.83011967,0.3729695303246696,0.7625,0.4847122482955456
8,0.86103725,0.3206316562805404,0.765625,0.5031486727297306
9,0.87799203,0.2994861420481763,0.73125,0.5570767283439636
10,0.875,0.31286458132114814,0.75,0.6294974580407142
11,0.8912899,0.26804948784410954,0.73125,0.5503520488739013
12,0.8962766,0.27486279999163554,0.70625,0.6186764448881149
13,0.890625,0.27678816226568626,0.759375,0.5067413069307805
14,0.9005984,0.25014415795498707,0.7375,0.5584847778081894
15,0.9099069,0.2366250398509363,0.765625,0.5520230382680893
16,0.9255319,0.20563626568764448,0.759375,0.606121164560318
17,0.9281915,0.19452717640694786,0.76875,0.5774713851511478
18,0.91389626,0.23777746050519513,0.725,0.6589800417423248
19,0.89960104,0.24570905930422088,0.715625,0.6278964310884476
20,0.93018615,0.19438483512544252,0.740625,0.5527116805315018
21,0.93351066,0.1879167205832423,0.73125,0.6308288857340812
22,0.95013297,0.1622235166661917,0.740625,0.7440786615014077
23,0.95146275,0.15334665630646843,0.7625,0.6630206152796745
24,0.9617686,0.12637244371023584,0.728125,0.7311144009232521
25,0.96043885,0.13294940366548427,0.7375,0.6837716080248356
26,0.96875,0.11766610425361927,0.734375,0.7533790349960328
27,0.94913566,0.15219050653754396,0.753125,0.7371020391583443
28,0.9574468,0.13508191254941074,0.753125,0.7018829226493836
29,0.9630984,0.13049353526389978,0.740625,0.7187261998653411
